,"[1982-84=100, unless otherwise noted]",,,,,,,,,
,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Nov.
2016",Unadjusted indexes,,,Unadjusted percent change,,Seasonally adjusted percent change,,
,,,"Dec.
2015","Nov.
2016","Dec.
2016","Dec.
2015-
Dec.
2016","Nov.
2016-
Dec.
2016","Sep.
2016-
Oct.
2016","Oct.
2016-
Nov.
2016","Nov.
2016-
Dec.
2016"
,,,,,,,,,,
0,All items,100,236.525,241.353,241.432,2.1,0,0.4,0.2,0.3
1,Food,13.709,247.903,247.435,247.313,-0.2,0,0,0,0
2,Food at home,7.917,241.375,236.93,236.464,-2,-0.2,-0.2,-0.1,-0.2
3,Cereals and bakery products,1.071,273.245,271.896,271.374,-0.7,-0.2,0,0.1,-0.1
3,"Meats, poultry, fish, and eggs",1.755,255.298,243.633,241.612,-5.4,-0.8,-0.7,-0.1,-0.4
3,Dairy and related products,0.814,220.848,216.773,217.929,-1.3,0.5,0.3,-0.6,0.4
3,Fruits and vegetables,1.346,299.078,293.554,291.957,-2.4,-0.5,0.2,-0.2,-1.1
3,Nonalcoholic beverages and beverage materials,0.951,167.482,166.258,165.965,-0.9,-0.2,-0.4,0.3,-0.3
3,Other food at home,1.981,208.915,207.703,208.301,-0.3,0.3,-0.1,-0.3,0.3
2,Food away from home(1),5.792,259.097,264.699,265.104,2.3,0.2,0.1,0.1,0.2
,,,,,,,,,,
1,Energy,6.972,183.378,191.402,193.306,5.4,1,3.5,1.2,1.5
2,Energy commodities,3.383,184.048,196.855,200.633,9,1.9,6.7,2.5,3
3,Fuel oil(1),0.097,208.561,221.808,235.127,12.7,6,5.9,-1.2,6
3,Motor fuel,3.202,180.452,193.432,196.831,9.1,1.8,6.9,2.6,2.9
4,Gasoline (all types),3.153,179.496,192.522,195.915,9.1,1.8,7,2.7,3
2,Energy services(2),3.589,190.918,194.838,195.079,2.2,0.1,0.5,-0.1,-0.1
3,Electricity(2),2.793,201.787,202.984,203.146,0.7,0.1,0.4,0,0
3,Utility (piped) gas service(2),0.796,155.746,167.469,167.935,7.8,0.3,0.9,-0.4,-0.4
,,,,,,,,,,
1,All items less food and energy,79.319,243.779,249.227,249.134,2.2,0,0.1,0.2,0.2
2,Commodities less food and energy commodities,19.23,144.522,144.593,143.668,-0.6,-0.6,0.1,-0.3,0
3,Apparel,3.152,122.792,127.377,122.637,-0.1,-3.7,0.3,-0.5,-0.7
3,New vehicles,3.673,146.817,147.027,147.299,0.3,0.2,0.2,-0.1,0.1
3,Used cars and trucks,1.991,142.474,137.789,137.475,-3.5,-0.2,-0.1,0.3,0.5
3,Medical care commodities,1.853,355.03,371.54,371.561,4.7,0,0.1,-0.5,0.4
3,Alcoholic beverages,0.952,240.128,243.395,243.414,1.4,0,0.4,-0.2,0.1
3,Tobacco and smoking products,0.659,949.439,975.11,983.271,3.6,0.8,0.3,0.4,0.4
2,Services less energy services,60.089,304.699,313.702,314.19,3.1,0.2,0.2,0.3,0.3
3,Shelter,33.587,282.394,291.953,292.612,3.6,0.2,0.4,0.3,0.3
4,Rent of primary residence(2),7.848,291.204,301.587,302.735,4,0.4,0.4,0.3,0.3
4,Owners' equivalent rent of residences(2)(3),24.528,290.133,299.738,300.501,3.6,0.3,0.3,0.3,0.3
3,Medical care services,6.687,481.983,500.697,500.845,3.9,0,0,0.2,0.1
4,Physicians' services(2),1.709,370.324,384.11,384.519,3.8,0.1,-0.1,0.6,0
4,Hospital services(2)(4),2.242,294.377,307.403,307.465,4.4,0,0.2,-0.1,0.3
3,Transportation services,5.917,294.081,302.164,302.41,2.8,0.1,-0.2,0.4,0.6
4,Motor vehicle maintenance and repair(1),1.162,272.967,277.348,278.002,1.8,0.2,0.1,0.6,0.2
4,Motor vehicle insurance,2.475,474.392,503.44,507.589,7,0.8,0.2,1,0.8
4,Airline fare,0.646,278.658,274.761,265.436,-4.7,-3.4,-2.2,-1.3,1.9
,,,,,,,,,,
,Footnotes:,,,,,,,,,
,(1) Not seasonally adjusted.,,,,,,,,,
,(2) This index series was calculated using a Laspeyres estimator.  All other item stratum index series were calculated using a geometric means estimator.,,,,,,,,,
,(3) Indexes on a December 1982=100 base.,,,,,,,,,
,(4) Indexes on a December 1996=100 base.,,,,,,,,,
,"NOTE: Index applies to a month as a whole, not to any specific date.",,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,
,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Jan.
2016",Unadjusted indexes,,,Unadjusted percent change,,Seasonally adjusted percent change,,
,,,"Feb.
2015","Jan.
2016","Feb.
2016","Feb.
2015-
Feb.
2016","Jan.
2016-
Feb.
2016","Nov.
2015-
Dec.
2015","Dec.
2015-
Jan.
2016","Jan.
2016-
Feb.
2016"
,,,,,,,,,,
0,All items,100,234.722,236.916,237.111,1,0.1,-0.1,0,-0.2
1,Food,14.033,246.68,248.631,248.8,0.9,0.1,-0.2,0,0.2
2,Food at home,8.239,242.906,242.017,242.062,-0.3,0,-0.4,-0.2,0.2
3,Cereals and bakery products,1.101,273.052,274.58,274.801,0.6,0.1,-0.1,-0.2,0.2
3,"Meats, poultry, fish, and eggs",1.848,260.863,251.783,251.29,-3.7,-0.2,-1.1,-1.3,-0.1
3,Dairy and related products,0.845,225.535,220.869,219.732,-2.6,-0.5,0,-0.2,0
3,Fruits and vegetables,1.433,295.686,306.796,306.778,3.8,0,-0.2,1.3,0.8
3,Nonalcoholic beverages and beverage materials,0.983,168.901,168.718,169.248,0.2,0.3,-0.1,-0.2,0.6
3,Other food at home,2.029,208.954,208.81,209.385,0.2,0.3,-0.2,-0.2,-0.1
2,Food away from home(1),5.794,253.719,259.958,260.319,2.6,0.1,0.1,0.3,0.1
,,,,,,,,,,
1,Energy,6.686,196.597,180.171,172.061,-12.5,-4.5,-2.8,-2.8,-6
2,Energy commodities,3.08,201.485,175.931,159.404,-20.9,-9.4,-4.8,-4.8,-12.5
3,Fuel oil(1),0.087,279.04,195.029,189.373,-32.1,-2.9,-7.8,-6.5,-2.9
3,Motor fuel,2.907,196.272,172.378,155.361,-20.8,-9.9,-4.8,-4.8,-12.9
4,Gasoline (all types),2.863,194.883,171.574,154.564,-20.7,-9.9,-4.8,-4.8,-13
2,Energy services(2),3.605,200.685,192.148,191.532,-4.6,-0.3,-0.7,-0.7,0.1
3,Electricity(2),2.848,208.696,203.169,202.528,-3,-0.3,-0.4,-0.7,-0.2
3,Utility (piped) gas service(2),0.758,173.978,156.513,155.981,-10.3,-0.3,-1.9,-0.6,1
,,,,,,,,,,
1,All items less food and energy,79.281,240.083,244.528,245.68,2.3,0.5,0.2,0.3,0.3
2,Commodities less food and energy commodities,19.609,145.761,144.725,145.856,0.1,0.8,-0.1,0.2,0.3
3,Apparel,3.073,124.457,121.878,125.567,0.9,3,-0.2,0.6,1.6
3,New vehicles,3.752,147.345,147.456,148.268,0.6,0.6,0,0.3,0.2
3,Used cars and trucks,2.1,143.39,142.668,144.024,0.4,1,0.2,0.1,0.2
3,Medical care commodities,1.816,353.484,357.414,361.435,2.2,1.1,0.1,0.4,0.6
3,Alcoholic beverages,0.962,239.269,241.535,242.437,1.3,0.4,-0.1,0.5,0.2
3,Tobacco and smoking products,0.656,918.602,952.536,951.247,3.6,-0.1,0.3,0.2,0.2
2,Services less energy services,59.673,297.75,305.803,306.932,3.1,0.4,0.2,0.3,0.3
3,Shelter,33.225,275.39,283.498,284.435,3.3,0.3,0.2,0.3,0.3
4,Rent of primary residence(2),7.741,282.389,292.004,292.777,3.7,0.3,0.2,0.3,0.3
4,Owners' equivalent rent of residences(2)(3),24.25,282.579,290.884,291.505,3.2,0.2,0.2,0.2,0.3
3,Medical care services,6.603,471.138,485.321,489.432,3.9,0.8,0.1,0.5,0.5
4,Physicians' services(2),1.681,361.242,370.911,372.091,3,0.3,-0.2,0.1,0.3
4,Hospital services(2)(4),2.208,286.308,297.252,301.007,5.1,1.3,0.1,0.4,0.5
3,Transportation services,5.873,287.914,294.42,295.533,2.6,0.4,0.3,0.4,0.2
4,Motor vehicle maintenance and repair(1),1.166,269.136,273.097,273.072,1.5,0,0.3,0,0
4,Motor vehicle insurance,2.381,454.335,475.456,477.297,5.1,0.4,0.5,0.4,0.4
4,Airline fare,0.667,288.626,278.334,283.52,-1.8,1.9,-0.1,1.2,0.1
,,,,,,,,,,
,Footnotes:,,,,,,,,,
,(1) Not seasonally adjusted.,,,,,,,,,
,(2) This index series was calculated using a Laspeyres estimator.  All other item stratum index series were calculated using a geometric means estimator.,,,,,,,,,
,(3) Indexes on a December 1982=100 base.,,,,,,,,,
,(4) Indexes on a December 1996=100 base.,,,,,,,,,
,"NOTE: Index applies to a month as a whole, not to any specific date.",,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,
,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Mar.
2016",Unadjusted indexes,,,Unadjusted percent change,,Seasonally adjusted percent change,,
,,,"Apr.
2015","Mar.
2016","Apr.
2016","Apr.
2015-
Apr.
2016","Mar.
2016-
Apr.
2016","Jan.
2016-
Feb.
2016","Feb.
2016-
Mar.
2016","Mar.
2016-
Apr.
2016"
,,,,,,,,,,
0,All items,100,236.599,238.132,239.261,1.1,0.5,-0.2,0.1,0.4
1,Food,13.925,246.121,247.978,248.413,0.9,0.2,0.2,-0.2,0.2
2,Food at home,8.139,241.305,240.329,240.635,-0.3,0.1,0.2,-0.5,0.1
3,Cereals and bakery products,1.09,273.366,273.162,273.924,0.2,0.3,0.2,-0.6,0.3
3,"Meats, poultry, fish, and eggs",1.831,258.991,250.837,250.839,-3.1,0,-0.1,-0.3,-0.1
3,Dairy and related products,0.83,222.691,218.131,218.315,-2,0.1,0,-0.5,0.4
3,Fruits and vegetables,1.386,290.178,298.162,296.217,2.1,-0.7,0.8,-1.9,-0.5
